YEAR,MO,DY,HR,PRECTOTCORR,T2M,T2MDEW

2021,12,31,19,0.01,8.15,8.22

2021,12,31,20,0.01,8.01,8.12

2021,12,31,21,0.01,8.0,8.08

2021,12,31,22,0.01,8.03,8.08

2021,12,31,23,0.01,8.07,8.06

2022,1,1,0,0.01,7.99,7.94

2022,1,1,1,0.04,7.71,7.69

2022,1,1,2,0.13,7.39,7.44

2022,1,1,3,0.07,7.21,7.31

2022,1,1,4,0.05,7.2,7.3

2022,1,1,5,0.19,7.38,7.41

2022,1,1,6,0.23,7.62,7.6

2022,1,1,7,0.28,8.09,7.97

2022,1,1,8,0.19,8.54,8.3

2022,1,1,9,0.14,9.01,8.65

2022,1,1,10,0.08,9.34,8.89

2022,1,1,11,0.09,9.85,9.19

2022,1,1,12,0.04,10.34,9.57

2022,1,1,13,0.09,10.98,10.01

2022,1,1,14,0.06,10.95,10.24

2022,1,1,15,0.08,9.83,9.75

2022,1,1,16,0.29,9.23,9.37

2022,1,1,17,0.68,9.28,9.33

2022,1,1,18,0.95,9.16,9.23

2022,1,1,19,1.06,9.13,9.11

2022,1,1,20,2.06,9.08,8.98

2022,1,1,21,3.46,8.62,8.69

2022,1,1,22,2.83,8.65,8.61

2022,1,1,23,1.54,8.65,8.5

2022,1,2,0,0.59,8.69,8.44

2022,1,2,1,0.18,8.55,8.31

2022,1,2,2,0.2,8.48,8.27

2022,1,2,3,0.32,8.23,8.14

2022,1,2,4,0.2,7.98,7.9

2022,1,2,5,0.13,8.0,7.82

2022,1,2,6,0.13,7.9,7.69

2022,1,2,7,0.07,7.49,7.37

2022,1,2,8,0.01,8.01,7.61

2022,1,2,9,0.0,8.76,8.05

2022,1,2,10,0.0,9.4,8.49

2022,1,2,11,0.01,10.6,9.12

2022,1,2,12,0.02,11.36,9.29

2022,1,2,13,0.01,11.31,8.85

2022,1,2,14,0.0,10.43,7.87

2022,1,2,15,0.0,8.98,6.22

2022,1,2,16,0.0,7.21,4.48

2022,1,2,17,0.0,5.73,2.66

2022,1,2,18,0.0,4.37,1.02

2022,1,2,19,0.02,3.15,-0.35

2022,1,2,20,0.0,1.98,-1.25

2022,1,2,21,0.0,1.1,-1.82

2022,1,2,22,0.0,0.55,-2.26

2022,1,2,23,0.0,0.12,-2.81

2022,1,3,0,0.0,-0.38,-3.45

2022,1,3,1,0.0,-0.57,-3.83

2022,1,3,2,0.0,-0.74,-4.08

2022,1,3,3,0.0,-0.93,-4.2

2022,1,3,4,0.0,-1.15,-4.45

2022,1,3,5,0.0,-1.68,-4.93

2022,1,3,6,0.0,-2.15,-5.42

2022,1,3,7,0.01,-2.6,-5.93

2022,1,3,8,0.02,-2.63,-6.39

2022,1,3,9,0.08,-2.56,-6.85

2022,1,3,10,0.1,-2.51,-7.02

2022,1,3,11,0.26,-2.56,-7.13

2022,1,3,12,0.32,-2.62,-7.12

2022,1,3,13,0.36,-2.72,-6.95

2022,1,3,14,0.2,-2.89,-7.1

2022,1,3,15,0.04,-3.04,-7.61

2022,1,3,16,0.0,-3.34,-8.06

2022,1,3,17,0.0,-3.69,-8.42

2022,1,3,18,0.0,-4.15,-8.81

2022,1,3,19,0.0,-4.46,-9.1

2022,1,3,20,0.0,-4.73,-9.31

2022,1,3,21,0.0,-5.27,-9.42

2022,1,3,22,0.0,-5.85,-9.6

2022,1,3,23,0.0,-6.26,-9.86

2022,1,4,0,0.0,-6.49,-10.23

2022,1,4,1,0.0,-6.66,-10.65

2022,1,4,2,0.0,-6.76,-10.94

2022,1,4,3,0.0,-6.77,-11.06

2022,1,4,4,0.0,-6.81,-11.13

2022,1,4,5,0.0,-6.88,-11.18

2022,1,4,6,0.0,-6.97,-11.18

2022,1,4,7,0.0,-6.93,-11.13

2022,1,4,8,0.0,-5.85,-10.97

2022,1,4,9,0.0,-4.3,-10.7

2022,1,4,10,0.0,-2.64,-10.42

2022,1,4,11,0.0,-1.12,-9.96

2022,1,4,12,0.0,-0.13,-8.88

2022,1,4,13,0.0,0.51,-7.81

2022,1,4,14,0.0,0.64,-6.88

2022,1,4,15,0.0,0.03,-5.53

2022,1,4,16,0.0,-2.38,-4.94

2022,1,4,17,0.0,-2.82,-5.17

2022,1,4,18,0.0,-2.58,-4.95

2022,1,4,19,0.0,-2.52,-4.69

2022,1,4,20,0.0,-2.48,-4.46

2022,1,4,21,0.0,-2.52,-4.3

2022,1,4,22,0.0,-2.66,-4.17

2022,1,4,23,0.0,-2.81,-4.08

2022,1,5,0,0.0,-2.91,-3.92

2022,1,5,1,0.0,-2.81,-3.57

2022,1,5,2,0.0,-2.65,-3.03

2022,1,5,3,0.0,-2.38,-2.35

2022,1,5,4,0.02,-1.7,-1.6

2022,1,5,5,0.03,-1.1,-1.04

2022,1,5,6,0.21,-0.52,-0.42

2022,1,5,7,0.16,0.71,0.86

2022,1,5,8,0.33,2.03,2.01

2022,1,5,9,0.52,2.94,2.83

2022,1,5,10,0.61,3.75,3.6

2022,1,5,11,0.45,4.33,4.12

2022,1,5,12,0.29,4.54,4.3

2022,1,5,13,0.22,4.38,4.12

2022,1,5,14,0.16,4.15,3.9

2022,1,5,15,0.17,3.48,3.45

2022,1,5,16,0.09,2.73,2.97

2022,1,5,17,0.02,2.19,2.7

2022,1,5,18,0.0,1.91,2.62

2022,1,5,19,0.0,1.63,2.48

2022,1,5,20,0.0,1.29,2.14

2022,1,5,21,0.01,1.43,1.9

2022,1,5,22,0.01,1.41,1.56

2022,1,5,23,0.01,1.35,1.3

2022,1,6,0,0.01,1.28,1.15

2022,1,6,1,0.0,1.19,0.98

2022,1,6,2,0.0,1.04,0.85

2022,1,6,3,0.0,0.77,0.54

2022,1,6,4,0.0,0.13,-0.05

2022,1,6,5,0.0,-0.79,-0.92

2022,1,6,6,0.0,-1.19,-1.56

2022,1,6,7,0.0,-1.07,-1.92

2022,1,6,8,0.0,-0.01,-1.9

2022,1,6,9,0.0,1.13,-3.02

2022,1,6,10,0.0,1.68,-4.37

2022,1,6,11,0.0,2.21,-4.74

2022,1,6,12,0.0,2.59,-4.88

2022,1,6,13,0.0,2.5,-4.9

2022,1,6,14,0.0,2.19,-4.81

2022,1,6,15,0.0,1.16,-3.87

2022,1,6,16,0.0,-1.57,-4.22

2022,1,6,17,0.0,-1.86,-4.17

2022,1,6,18,0.0,-1.46,-3.6

2022,1,6,19,0.0,-1.27,-3.47

2022,1,6,20,0.0,-1.08,-3.48

2022,1,6,21,0.01,-1.35,-3.41

2022,1,6,22,0.04,-1.41,-3.33

2022,1,6,23,0.14,-1.33,-3.35

2022,1,7,0,0.21,-1.35,-3.12

2022,1,7,1,0.34,-1.32,-2.72

2022,1,7,2,0.87,-1.39,-2.48

2022,1,7,3,1.44,-1.56,-2.71

2022,1,7,4,1.4,-1.88,-3.04

2022,1,7,5,1.27,-2.23,-3.32

2022,1,7,6,0.99,-2.46,-3.56

2022,1,7,7,0.53,-2.63,-3.75

2022,1,7,8,0.19,-2.52,-3.91

2022,1,7,9,0.04,-2.04,-3.98

