tpep_pickup_datetime,PU_count,PU_month,PU_day_of_month,PU_day_of_week,PU_hour,trip_distance,total_amount,lag_1h,lag_2h,lag_1d,lag_2d,ewma_3h,ewma_6h,ewma_12h,ewma_24h
2022-01-01 00:00:00,3507,1,1,5,0,2.757311,18.051933,0.0,0.0,0.0,0.0,3507.0,3507.0,3507.0,3507.0
2022-01-01 01:00:00,4051,1,1,5,1,2.8515158,18.022978,3507.0,0.0,0.0,0.0,3869.6666666666665,3824.333333333333,3801.666666666667,3790.333333333334
2022-01-01 02:00:00,3100,1,1,5,2,3.0460677,18.365532,4051.0,3507.0,0.0,0.0,3429.8571428571427,3498.715596330275,3527.8060046189385,3540.791208791209
2022-01-01 03:00:00,2211,1,1,5,3,3.256635,18.679724,3100.0,4051.0,0.0,0.0,2779.8,3001.320945945946,3112.1418103448277,3165.6831130849223
2022-01-01 04:00:00,1321,1,1,5,4,3.6522105,19.909424,2211.0,3100.0,0.0,0.0,2026.8709677419354,2411.5752083028797,2625.4949819731546,2732.809393737149
2022-01-01 05:00:00,601,1,1,5,5,4.515624,22.438236,1321.0,2211.0,0.0,0.0,1302.6190476190477,1815.042284168431,2133.4361930684513,2299.5643326256063
2022-01-01 06:00:00,450,1,1,5,6,4.458022,21.947578,601.0,1321.0,0.0,0.0,872.9527559055118,1384.1542195117372,1757.7832964790323,1964.9176986206833
2022-01-01 07:00:00,569,1,1,5,7,3.9849737,20.107117,450.0,601.0,0.0,0.0,720.3803921568627,1134.3244590426516,1509.702545346985,1735.5057314611329
2022-01-01 08:00:00,563,1,1,5,8,3.8036766,19.747175,569.0,450.0,0.0,0.0,641.5362035225049,962.7864136184542,1322.411085918178,1557.799038557912
2022-01-01 09:00:00,872,1,1,5,9,3.3243923,17.901812,563.0,569.0,0.0,0.0,756.880742913001,935.9185737354103,1237.0583601864296,1460.7997401978937
2022-01-01 10:00:00,1328,1,1,5,10,2.995399,17.09058,872.0,563.0,0.0,0.0,1042.579872984856,1050.7781826338858,1253.6984875144992,1443.1038030684006
2022-01-01 11:00:00,1818,1,1,5,11,3.143812,17.798355,1328.0,872.0,0.0,0.0,1430.3846153846155,1273.920326290524,1354.0294439117993,1490.5339810140242
2022-01-01 12:00:00,2320,1,1,5,12,3.0188923,17.537327,1818.0,1328.0,0.0,0.0,1875.2466121352704,1576.6138642092296,1521.758629170753,1590.809900971764
2022-01-01 13:00:00,2475,1,1,5,13,3.0455918,17.569305,2320.0,1818.0,0.0,0.0,2175.141610205701,1835.6265434999382,1684.0651993341273,1693.5022233741922
